_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Scarborough Health Network - Birchmount Hospital - 3D,3030 Birchmount Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2024-12-31,2025-01-09,N
2,Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-31,2025-01-11,N
3,"Villa Colombo Home for the Aged - 2 Fusco West , 4 Fusco North & 4 Fusco South",40 Playfair Ave,LTCH,Respiratory,Coronavirus*,None,2024-12-31,2025-01-22,N
4,Villa Colombo Homes for the Aged - 3 Fusco South,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,None,2024-12-31,2025-01-06,N
5,"Chartwell Scarlett Heights - 3rd, 7th & 8th Fl",4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,None,2024-12-31,2025-01-10,N
6,"Delmanor Northtown - 2nd, 5th & 6th Fl",5351 Yonge St,Retirement Home,Respiratory,Influenza A (Not subtyped),Enterovirus/ Rhinovirus,2024-12-31,2025-01-15,N
7,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,COVID-19,None,2024-12-31,2025-01-14,N
8,Cheltenham Care Community - 1st & 3rd Fl,5935 Bathurst St,LTCH,Respiratory,Influenza A (H1N1),None,2024-12-31,2025-01-11,N
9,Runnymede Healthcare Centre - 4E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-31,2025-01-08,N
10,Copernicus Lodge - 6th Fl,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,None,2024-12-31,2025-01-08,N
11,Centre for Addiction and Mental Health - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-12-30,2025-01-08,N
12,Harmony Hills Care Community - 3A & 3B,1800 O'Connor Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-11,N
13,"Delmanor Wynford - 3rd, 5th & 6th Fl",187 Wynford Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-13,N
14,"Cummer Lodge - 2N, 2S, 3N, 3S & 4S",205 Cummer Ave,LTCH,Enteric,Norovirus,None,2024-12-30,2025-02-07,N
15,Humber Meadows - 5 South & 6 South,2109 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-12-30,2025-01-06,N
16,"Humber Meadows - 4 North, 5 North & 5 South",2109 Finch Ave W,LTCH,Enteric,Norovirus,None,2024-12-30,2025-01-15,N
17,St. George Care Community - 5th Fl,225 St.George St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-08,N
18,Rekai Centres - Sherbourne Place,345 Sherbourne Pl,LTCH,Respiratory,Unable to identify,None,2024-12-30,2025-01-21,N
19,Baycrest Apotex Centre - Jewish Home for the Aged - 6GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-12-30,2025-01-11,N
20,Baycrest Apotex Centre - Jewish Home for the Aged - 4FR,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-05,N
21,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,Retirement Home,Respiratory,COVID-19,None,2024-12-30,2025-01-07,N
22,Extendicare Rouge Valley - Cedar Ridge House & BSU,551 Conlins Rd,LTCH,Respiratory,COVID-19,None,2024-12-30,2025-01-16,N
23,Extendicare Rouge Valley - Cedar Ridge House & Meadowvale,551 Conlins Rd,LTCH,Respiratory,Unable to identify,None,2024-12-30,2025-01-18,N
24,Runnymede Healthcare Centre - 4 West,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-30,2025-01-09,N
25,Greenview Lodge - 2nd Fl,880 Lawrence Ave E,Retirement Home,Respiratory,COVID-19,None,2024-12-30,2025-01-14,N
26,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-13,N
27,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-13,N
28,Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-12-29,2025-01-13,N
29,Castleview Wychwood Towers - 3C,351 Christie St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-29,2025-01-06,N
30,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-28,2025-01-22,N
31,Lakeside Long Term Care Centre - 4th Fl,150 Dunn Ave,LTCH,Enteric,Norovirus,None,2024-12-28,2025-01-14,N
32,The Village of Humber Heights - 1 West & 3 West,2245 Lawrence Ave W,LTCH,Enteric,Unable to identify,None,2024-12-28,2025-01-10,N
33,Yee Hong Centre - Scarborough McNicoll - 3rd Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-12-28,2025-01-11,N
34,Bendale Acres - 2 West,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-28,2025-01-06,N
35,Baycrest Apotex Centre - Jewish Home for the Aged - 5GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-12-28,2025-01-12,N
36,Baycrest Apotex Centre - Jewish Home for the Aged - 3EI,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-28,2025-01-05,N
37,Valleyview Residence - 2W & 4E,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-12-28,2025-01-10,N
38,Centre for Addiction and Mental Health - Queen Site - Unit 3-5,1001 Queen St W,Hospital-Chronic Care,Enteric,Unable to identify,None,2024-12-27,2025-01-04,N
39,Centre for Addiction and Mental Health - Queen Site - CCC6,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,None,2024-12-27,2024-12-31,N
40,Amica On The Avenue - 5th Fl,1066 Avenue Rd,Retirement Home,Enteric,Unable to identify,None,2024-12-27,2024-12-31,N
41,Delmanor West Village - 6th Fl,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,None,2024-12-27,2025-01-06,N
42,The Wexford - 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-12-27,2025-01-07,N
43,Cummer Lodge - 3S,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-12-27,2025-01-10,N
44,Scarborough Health Network - Centenary Hospital - 3EMBW,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,None,2024-12-27,2025-01-06,N
45,Rockcliffe Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,None,2024-12-27,2025-01-09,N
46,Villa Colombo Homes for the Aged - 3rd Fl Fidani & 3 Fusco West,40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-27,2025-01-16,N
47,"The Briton House - South Tower (3rd, 4th, 8th, 10th & 11th Fl) & North Tower (4th, 5th, 7th & 9th Fl)",720 Mt. Pleasant Rd,Retirement Home,Respiratory,COVID-19,None,2024-12-27,2025-01-16,N
48,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,None,2024-12-26,2025-01-10,N
49,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Metapneumovirus,Rhinovirus,2024-12-26,2025-01-18,N
50,The Teddington,4 Teddington Park Ave,Retirement Home,Enteric,Unable to identify,None,2024-12-25,2025-01-06,N
51,St. George Care Community - 3rd Fl,225 St. George St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-12-24,2025-01-20,N
52,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,COVID-19,None,2024-12-24,2025-01-06,N
53,Downsview Long Term Care Centre - 1N & 2N,3595 Keele St,LTCH,Enteric,Unable to identify,None,2024-12-24,2025-01-09,N
54,Villa Colombo Homes for the Aged - 2 Fusco,40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-24,2024-12-30,N
55,Sinai Health System - Mount Sinai Hospital - 12S,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-12-24,2025-01-06,N
56,Hazelton Place,111 Avenue Rd,Retirement Home,Respiratory,COVID-19,None,2024-12-23,2025-01-10,N
57,Westpark Long Term Care Centre - Kiwanis Iiaali Unit,150 Emmett Ave,LTCH,Respiratory,COVID-19,None,2024-12-23,2025-01-01,N
58,Sts. Peter and Paul Residence - 1st & 4th Fl,221 Milner Ave,Retirement Home,Respiratory,Enterovirus/ Rhinovirus,None,2024-12-23,2024-12-30,N
59,Queens Estate,265 Queens Dr,Retirement Home,Respiratory,COVID-19,None,2024-12-23,2025-01-08,N
60,Labdara Lithuanian Nursing Home - 3rd Fl,5 Ressurection Rd,LTCH,Respiratory,COVID-19,None,2024-12-23,2025-01-01,N
61,Rayoak Place - 1st Fl,1340 York Mills Rd,Retirement Home,Enteric,Unable to identify,None,2024-12-22,2025-01-04,N
62,Fairview Nursing Home - 2nd Fl,14 Cross St,LTCH,Respiratory,COVID-19,None,2024-12-22,2024-12-31,N
63,RCC - Church Site - William Osler Health System - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,None,2024-12-21,2025-01-08,N
64,Labdara Lithuanian Nursing Home - 2nd Fl,5 Ressurection Rd,LTCH,Respiratory,Respiratory syncytial virus,None,2024-12-21,2025-01-02,N
65,Fountain View Care Community - 1st Fl,1800 O'Connor Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-20,2024-12-27,N
66,Reactivation Care Centre - Church Site - Trillium Health Partners - 1C,200 Church St,Hospital-Chronic Care,Enteric,Unable to identify,None,2024-12-20,2024-12-27,N
67,Unity Health Toronto - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),None,2024-12-20,2025-01-05,N
68,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2024-12-20,2025-01-13,N
69,Unity Health Toronto - Providence Healthcare Centre - A5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,Respiratory syncytial virus,2024-12-20,2025-01-12,N
70,Unity Health Toronto - Providence Healthcare Centre - B3,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-20,2025-01-03,N
71,AgeCare Westbury - 2nd Fl,495 The West Mall,LTCH,Respiratory,Influenza A (H1N1),None,2024-12-20,2025-01-09,N
72,The Dunfield Retirement Residence - 4th Fl,77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,None,2024-12-20,2025-01-06,N
73,"Donway Place - 1st, 2nd, 3rd & 4th Fl",8 The Donway E,Retirement Home,Respiratory,Metapneumovirus,None,2024-12-20,2025-01-02,N
74,"Donway Place - 1st, 3rd, 4th, 5th & 6th Fl",8 The Donway E,Retirement Home,Respiratory,Coronavirus*,None,2024-12-20,2025-01-02,N
75,Centre for Addiction and Mental Health - Unit 1-2 FGUA,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,None,2024-12-19,2024-12-25,N
76,Humber Meadows - 2 South,2109 Finch Ave W,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-19,2025-01-06,N
77,Carefree Lodge - Bayview Gardens,306 Finch Ave E,LTCH,Respiratory,Parainfluenza,None,2024-12-19,2025-01-08,N
78,Unity Health Toronto - Providence Healthcare Centre - B5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-19,2025-01-10,N
79,Harmony Hills Care Community - Unit 3B,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2024-12-18,2025-01-09,N
80,Reactivation Care Centre - Finch Site - Southlake Hospital - 5W,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-18,2024-12-28,N
81,Carefree Lodge - 1st & 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Rhinovirus,None,2024-12-18,2024-12-30,N
82,Unity Health Toronto - Houses Of Providence - 4W Oak & Willow,3276 St. Clair Ave E,LTCH,Respiratory,Unable to identify,None,2024-12-18,2024-12-30,N
83,The Teddington - 2nd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,COVID-19,None,2024-12-18,2024-12-27,N
84,Valleyview Residence - 3 East,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-12-18,2024-12-27,N
85,Leaside - 4th & 6th Fl,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-12-17,2025-01-20,N
86,Craiglee Nursing Home - 3 West,102 Craiglee Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-17,2024-12-27,N
87,The Village Of Humber Heights,2245 Lawrence Ave W,Retirement Home,Enteric,Unable to identify,None,2024-12-17,2025-01-03,N
88,North York General Hospital - General Site - 3N,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),None,2024-12-17,2024-12-25,N
89,The Kensington Gardens - North Building - Unit 2W,45 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2024-12-17,2025-01-06,N
90,Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,Parainfluenza,None,2024-12-17,2025-01-03,N
91,Nisbet Lodge - 11th Fl,740 Pape Ave,LTCH,Respiratory,Metapneumovirus,None,2024-12-17,2025-01-02,N
92,Glen Rouge Community,92 Island Rd,LTCH,Respiratory,COVID-19,None,2024-12-17,2025-01-03,N
93,Sinai Health System - Hennick Bridgepoint Hospital - 4N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-16,2024-12-31,N
94,The Rekai Centres at Wellesley Street - 2W & 4W,160 Wellesley St E,LTCH,Respiratory,Parainfluenza,None,2024-12-16,2024-12-31,N
95,McCowan Retirement Residence,2881 Eglinton Ave East,Retirement Home,Enteric,Unable to identify,None,2024-12-16,2025-01-07,N
96,The Claremont,305 Balliol St,Retirement Home,Respiratory,COVID-19,None,2024-12-16,2025-01-03,N
97,Unity Health Toronto - Houses Of Providence - 3W Walnut & Poplar,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2024-12-16,2024-12-30,N
98,Age Care Trilogy - 2nd & 4th Fl,340 McCowan Rd,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-16,2025-01-06,N
99,Shepherd Lodge - 3 North,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,None,2024-12-16,2024-12-24,N
100,TEHN - Atrium at Kew Beach - 2nd Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-16,2024-12-25,N
101,"Christie Gardens - Annex, Seaton & Cedarvale",600 Melita Cres,Retirement Home,Respiratory,COVID-19,None,2024-12-16,2025-01-01,N
102,Westpark Long Term Care - Humber & York,150 Emmett Ave,LTCH,Respiratory,COVID-19,None,2024-12-15,2025-01-01,N
103,True Davidson Acres - 4th Fl,200 Dawes Rd,LTCH,Respiratory,Metapneumovirus,None,2024-12-15,2024-12-19,N
104,Weston Terrace Care Community - 3A Johnson Grove,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-12-15,2024-12-30,N
105,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-15,2024-12-24,N
106,Craiglee Nursing Home - 3W,102 Craiglee Dr,LTCH,Respiratory,Respiratory syncytial virus,None,2024-12-14,2024-12-23,N
107,"Bendale Acres - 1st, 2nd (East) & 6th Fl",2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-12-14,2024-12-30,N
108,Baycrest Apotex Centre - Jewish Home for the Aged - 3EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-12-14,2024-12-22,N
109,Agecare Westbury - 6th & 8th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,None,2024-12-14,2024-12-30,N
110,Tendercare Living Centre - 2 East,1020 McNicoll Ave,LTCH,Enteric,Norovirus,None,2024-12-13,2024-12-19,N
111,Westpark Long Term Care Centre - Weston Mulholland,150 Emmett Ave,LTCH,Respiratory,COVID-19,None,2024-12-13,2024-12-26,N
112,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Enteric,Norovirus,None,2024-12-13,2024-12-24,N
113,Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Respiratory,Rhinovirus,None,2024-12-12,2024-12-21,N
114,Chester Village,3555 Danforth Ave,LTCH,Respiratory,COVID-19,None,2024-12-12,2025-01-18,N
115,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-12-11,2024-12-24,N
116,Extendicare Scarborough - 1st Fl,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,None,2024-12-11,2024-12-22,N
117,TEHN - Atrium at Kew Beach - 3rd Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-11,2024-12-28,N
118,TEHN - Atrium At Kew Beach - 1st Fl West,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-11,2024-12-24,N
119,Valleyview Residence,541 Finch Ave W,LTCH,Enteric,Norovirus,None,2024-12-11,2025-01-03,N
120,Yee Hong Centre - Scarborough Finch - 5th Fl North,60 Scottfield Dr,LTCH,Respiratory,COVID-19,None,2024-12-11,2024-12-22,N
121,UHN - Toronto Rehabilitation Institute - Bickle Centre - South 4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-10,2024-12-23,N
122,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Enteric,Norovirus,None,2024-12-10,2025-01-06,N
123,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,None,2024-12-10,2024-12-31,N
124,Seven Oaks - 4th Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,None,2024-12-10,2024-12-28,N
125,Sinai Health System - Hennick Bridgepoint Hospital - 6N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-09,2024-12-20,N
126,Centre for Addiction and Mental Health - Unit 1-4,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,None,2024-12-09,2024-12-10,N
127,William Osler Health System - Etobicoke General Hospital - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),None,2024-12-09,2024-12-16,N
128,Amica Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Respiratory syncytial virus,None,2024-12-09,2025-01-02,N
129,Baycrest Apotex Centre - Jewish Home for the Aged - 2GS,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-09,2024-12-18,N
130,Dom Lipa - 1 West,52 Neilson Dr,LTCH,Enteric,Norovirus,None,2024-12-09,2024-12-23,N
131,Belmont House - 2WW,55 Belmont St,LTCH,Respiratory,Unable to identify,None,2024-12-09,2024-12-20,N
132,Ivan Franko Home Toronto - 2W & 2S,767 Royal York Rd,LTCH,Respiratory,COVID-19,None,2024-12-09,2024-12-27,N
133,Greenview Lodge - 2nd & 3rd Fl,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-12-09,2024-12-23,N
134,Agecare Westbury - 5th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,None,2024-12-08,2024-12-17,N
135,Kennedy Lodge,1400 Kennedy Rd,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-07,2025-01-03,N
136,North York General Hospital - Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-12-06,2024-12-12,N
137,Sunnybrook Health Sciences Centre - F2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-12-06,2024-12-19,N
138,St. Joseph's Health Centre - RCC Church Site - 4B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-05,2024-12-13,N
139,Reactivation Care Centre - Finch Site - Oak Valley Health - 6 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-05,2024-12-20,N
140,St. John's Rehabilitation Hospital - A2,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-05,2024-12-15,N
141,Scarborough Health Network - General Hospital - T6,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,None,2024-12-05,2024-12-12,N
142,Scarborough Health Network - General Hospital - 4C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,None,2024-12-05,2024-12-13,N
143,Chester Village,3555 Danforth Ave,LTCH,Enteric,Unable to identify,None,2024-12-05,2024-12-23,N
144,Harold and Grace Baker Centre - C-Wing,1 Northwestern Ave,LTCH,Respiratory,Streptococcus pyogenes,None,2024-12-04,2025-01-09,N
145,Kipling Acres - 1 North & 2nd Fl,2233 Kipling Ave,LTCH,Respiratory,COVID-19,None,2024-12-04,2025-01-02,N
146,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,COVID-19,None,2024-12-04,2024-12-17,N
147,"Scarborough Retirement Residence - 3rd, 4th, 5th & 6th Fl",148 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-12-03,2024-12-18,N
148,The Village of Humber Heights - Brule 2nd Fl,2245 Lawrence Ave W,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-12-03,2024-12-16,N
149,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-12-03,2024-12-14,N
150,William Osler Health System - Etobicoke General Hospital - 10E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-12-02,2024-12-07,N
151,Baycrest Apotex Centre - Jewish Home For The Aged - 6EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-12-02,2024-12-12,N
152,Fudger House - 3E,439 Sherbourne St,LTCH,Enteric,Norovirus,None,2024-12-02,2024-12-22,N
153,Chartwell Gibson - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,None,2024-11-29,2024-12-09,N
154,Sunnybrook Health Sciences - RCC Church Site - A3N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-29,2024-12-09,N
155,True Davidson Acres,200 Dawes Rd,LTCH,Respiratory,COVID-19,None,2024-11-29,2024-12-16,N
156,Retirement Suites by the Lake - 2nd Fl,2121 Kingston Rd,Retirement Home,Respiratory,COVID-19,None,2024-11-28,2024-12-09,N
157,North York General Hospital - General Site - 7N Geriatrics,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-11-28,2024-12-06,N
158,Eatonville Care Centre - 3rd & 5th Fl,420 The East Mall,LTCH,Respiratory,COVID-19,None,2024-11-28,2025-01-07,N
159,Harmony Hills Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2024-11-27,2024-12-16,N
160,St Clair O'Connor Nursing Home - 2nd Fl,2701 St Claire Ave E,LTCH,Respiratory,Rhinovirus,Enterovirus,2024-11-27,2024-12-05,N
161,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Rhinovirus,None,2024-11-27,2024-12-13,N
162,Forestview Retirement Residence - 3rd & 5th Fl,537 Finch Ave W,Retirement Home,Respiratory,Rhinovirus,None,2024-11-27,2024-12-06,N
163,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Rhinovirus,None,2024-11-26,2024-12-16,N
164,Centre for Addiction and Mental Health - Unit 3-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-11-25,2024-12-06,N
165,The Heritage Nursing Home - 4th Fl,1195 Queen St E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-11-25,2024-12-09,N
166,Lakeside Long Term Care Centre - 1st & 3rd Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,None,2024-11-25,2024-12-23,N
167,Unity Health Toronto - St. Joseph's Health Centre - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-11-25,2024-12-10,N
168,Unity Health Toronto - St. Joseph's Health Centre - 2nd Fl - Withdrawal Management Services,30 The Queensway,Hospital-Acute Care,Enteric,Unable to identify,None,2024-11-25,2024-12-01,N
169,Carefree Lodge - Main Level,306 Finch Ave E,LTCH,Respiratory,Rhinovirus,None,2024-11-25,2024-12-10,N
170,Labdara Lithuanian Nursing Home - 1st Fl,45 Resurrection Rd,LTCH,Respiratory,Respiratory syncytial virus,None,2024-11-25,2024-12-02,N
171,AgeCare Westbury - 3rd Fl,495 The West Mall,LTCH,Respiratory,COVID-19,None,2024-11-25,2024-12-14,N
172,Copernicus Lodge - 1S,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,None,2024-11-25,2024-12-11,N
173,True Davidson Acres - 4th Fl,200 Dawes Rd,LTCH,Respiratory,Metapneumovirus,None,2024-11-24,2024-12-09,N
174,Castleview Wychwood Towers - 7E,351 Christie St,LTCH,Respiratory,COVID-19,None,2024-11-24,2024-12-27,N
175,Tendercare Living Centre - 3 East & 3 West,1020 McNicoll Ave,LTCH,Enteric,Unable to identify,None,2024-11-22,2024-12-03,N
176,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,Rhinovirus,None,2024-11-22,2024-12-05,N
177,UHN - Toronto Rehabiliitation Institute - Bickle Centre - North 5B,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-21,2024-11-30,N
178,Chartwell Gibson - 2nd Fl,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,None,2024-11-21,2024-12-19,N
179,Downsview Long Term Care Centre - 2 North,3595 Keele St,LTCH,Respiratory,COVID-19,None,2024-11-21,2024-12-09,N
180,"Villa Colombo Homes for the Aged - 3 Fidani, 4 Fidani & 5 Fidani",40 Playfair Ave,LTCH,Respiratory,COVID-19,None,2024-11-21,2024-12-18,N
181,"Belmont House - 2 East, 4WW & 5WW",55 Belmont St,LTCH,Respiratory,COVID-19,None,2024-11-21,2024-12-08,N
182,Kennedy Lodge - Main Fl North (1st Fl),1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,None,2024-11-20,2024-11-25,N
183,Don Mills Retirement Residence - 4th Fl,2 Green Belt Dr,Retirement Home,Respiratory,Rhinovirus,None,2024-11-20,2024-12-02,N
184,Villa Colombo Homes for the Aged - 3 Fusco South,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,None,2024-11-20,2024-11-26,N
185,Runnymede Healthcare Centre - 2W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-20,2024-12-04,N
186,Norwood Nursing Home - 1st & 2nd Fl,122 Tyndall Ave,LTCH,Respiratory,COVID-19,None,2024-11-19,2024-12-05,N
187,"Cummer Lodge -1st Fl (SCU), 2 South & 2 North",205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-11-19,2024-12-08,N
188,UHN - Toronto Western Hospital - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-11-19,2024-12-04,N
189,Kingsway,4251 Dundas St W,Retirement Home,Enteric,Unable to identify,None,2024-11-19,2024-12-23,N
190,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,COVID-19,None,2024-11-19,2024-11-29,N
191,St. George Care Community - 4th Fl,225 St. George St,LTCH,Respiratory,Unable to identify,None,2024-11-18,2024-11-29,N
192,The Russell Hill Retirement Residence - 4th Fl,262 St Clair Ave W,Retirement Home,Respiratory,COVID-19,None,2024-11-18,2024-11-30,N
193,SHSC - St John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-18,2024-12-02,N
